RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-123,2022,4,AMETISTA,7.084,7.9,8.6,5.6,6.5,7.292,5.0,-2,Masculino,16,2017,Não,7.260416666599999
RA-124,2022,4,AMETISTA,7.388,7.9,7.8,5.0,6.7,7.167,10.0,0,Masculino,14,2016,Não,6.84375
RA-125,2022,4,AMETISTA,7.619,8.8,8.5,7.5,7.1,7.75,5.0,-1,Feminino,15,2022,Não,7.947916666599999
RA-126,2022,4,AGATA,6.289,7.1,5.8,7.5,4.4,7.417,5.0,-1,Masculino,15,2018,Não,7.364583333400001
RA-127,2022,4,TOPAZIO,8.283,7.5,8.7,7.5,7.9,8.125,10.0,0,Feminino,14,2022,Não,8.2395833334
RA-128,2022,4,QUARTZO,5.563,0.0,6.2,7.5,5.6,6.167,5.0,-1,Masculino,15,2019,Não,6.989583333400001
RA-129,2022,4,AGATA,6.926,6.7,6.4,7.5,6.7,7.792,5.0,-1,Masculino,15,2019,Não,7.34375
RA-130,2022,4,QUARTZO,5.624,8.3,4.7,5.0,4.1,6.5,5.0,-2,Feminino,16,2018,Não,7.28125
RA-131,2022,4,AMETISTA,7.174,8.8,9.0,5.6,5.6,7.75,5.0,-1,Feminino,15,2016,Não,7.1875
RA-132,2022,4,TOPAZIO,8.355,10.0,8.8,5.6,7.7,8.458,10.0,0,Feminino,14,2019,Sim,7.75
RA-133,2022,4,AGATA,6.875,7.9,7.1,7.5,5.6,7.625,5.0,-1,Feminino,15,2016,Não,7.75
RA-134,2022,4,AGATA,6.607,8.8,6.8,7.5,4.7,7.375,5.0,-1,Feminino,15,2021,Não,7.2375
RA-135,2022,4,AMETISTA,7.692,8.3,7.8,5.6,8.6,8.583,5.0,-1,Feminino,15,2019,Sim,7.983333333199999
RA-136,2022,4,AGATA,6.478,10.0,6.3,7.5,4.6,6.667,5.0,-1,Masculino,15,2019,Não,6.85
RA-137,2022,4,AMETISTA,7.056,7.5,8.9,5.0,7.3,7.792,2.5,-3,Feminino,17,2016,Não,7.916666666599999
RA-138,2022,4,AGATA,6.738,9.6,8.0,5.6,5.6,6.375,5.0,-1,Masculino,15,2016,Não,7.2125
RA-139,2022,4,QUARTZO,3.738,7.1,3.5,5.0,1.4,3.917,2.5,-3,Masculino,17,2019,Não,5.5895833334
RA-140,2022,4,AMETISTA,7.407,7.9,7.6,6.9,5.7,7.667,10.0,0,Feminino,14,2021,Não,7.1875
RA-141,2022,4,AMETISTA,7.118,9.2,8.2,5.6,5.7,5.917,10.0,0,Masculino,14,2017,Não,7.2125
RA-142,2022,4,AMETISTA,7.457,6.7,8.6,5.6,6.3,7.583,10.0,0,Feminino,14,2021,Não,7.072916666599999
RA-143,2022,4,TOPAZIO,8.638,8.3,9.9,5.6,7.9,9.5,10.0,1,Masculino,13,2019,Sim,7.7947916666
RA-144,2022,4,TOPAZIO,8.181,7.5,9.3,5.0,7.9,8.292,10.0,0,Feminino,14,2017,Não,8.2375
RA-145,2022,4,QUARTZO,5.846,0.0,6.3,8.1,5.2,7.25,5.0,-2,Masculino,16,2017,Não,7.15625
RA-146,2022,4,AMETISTA,7.947,8.3,9.2,7.5,7.9,8.208,5.0,-1,Feminino,15,2022,Não,7.5
